🔥 Chaos Test Started at 2026-02-09T12:56:05.512Z
[REQ 5] Login Fail: 401 (1291ms)
[REQ 6] Login Fail: 401 (488ms)
[REQ 2] Login Fail: 401 (899ms)
[REQ 3] Invalid Endpoint: 404 (1267ms)
[REQ 9] Health Check: 404 (934ms)
[REQ 8] Invalid Endpoint: 404 (934ms)
[REQ 4] Invalid Endpoint: 404 (906ms)
[REQ 1] Health Check: 404 (1949ms)
[REQ 0] Invalid Endpoint: 404 (1944ms)
[REQ 7] Root Page: 200 (2005ms)
[REQ 12] Invalid Endpoint: 404 (31ms)
[REQ 10] Root Page: 200 (73ms)
[REQ 11] Root Page: 200 (59ms)
[REQ 19] Invalid Endpoint: 404 (24ms)
[REQ 14] Health Check: 404 (25ms)
[REQ 13] Root Page: 200 (64ms)
[REQ 15] Root Page: 200 (79ms)
[REQ 18] Login Fail: 401 (178ms)
[REQ 16] Root Page: 200 (93ms)
[REQ 17] Invalid Endpoint: 404 (35ms)
[REQ 24] Root Page: 200 (63ms)
[REQ 25] Invalid Endpoint: 404 (26ms)
[REQ 22] Health Check: 404 (25ms)
[REQ 28] Invalid Endpoint: 404 (44ms)
[REQ 21] Root Page: 200 (69ms)
[REQ 26] Login Fail: 401 (171ms)
[REQ 29] Invalid Endpoint: 404 (24ms)
[REQ 27] Health Check: 404 (46ms)
[REQ 23] Root Page: 200 (132ms)
[REQ 20] Login Fail: 401 (220ms)
[REQ 37] Login Fail: 401 (164ms)
[REQ 33] Invalid Endpoint: 404 (39ms)
[REQ 31] Root Page: 200 (74ms)
[REQ 39] Login Fail: 401 (191ms)
[REQ 38] Login Fail: 401 (460ms)
[REQ 34] Root Page: 200 (83ms)
[REQ 32] Root Page: 200 (72ms)
[REQ 30] Health Check: 404 (43ms)
[REQ 36] Invalid Endpoint: 404 (58ms)
[REQ 35] Root Page: 200 (94ms)
[REQ 44] Root Page: 200 (69ms)
[REQ 46] Invalid Endpoint: 404 (26ms)
[REQ 47] Invalid Endpoint: 404 (25ms)
[REQ 42] Root Page: 200 (62ms)
[REQ 41] Health Check: 404 (52ms)
[REQ 43] Health Check: 404 (25ms)
[REQ 49] Invalid Endpoint: 404 (28ms)
[REQ 48] Root Page: 200 (70ms)
[REQ 45] Invalid Endpoint: 404 (25ms)
[REQ 40] Health Check: 404 (44ms)
🏁 Chaos Test Completed
